f_1_name,f_2_name,event_date,Y,delta_reach_cm,delta_height_cm,delta_age,delta_SlpM,delta_Str_Acc,delta_SApM,delta_Str_Def,delta_TD_Avg,delta_TD_Acc,delta_TD_Def,delta_Sub_Avg
RJ Harris,Alvin Hines,2026-07-18,1,10.159999999999997,2.539999999999992,-6.948665297741272,3.42,0.24999999999999994,-1.0200000000000005,0.18000000000000005,-0.9,-0.1,0.0,0.0
Anna Melisano,Dione Barbosa,2026-07-18,0,5.0800000000000125,-5.079999999999984,-5.032169746748799,-1.66,-0.12,-1.06,-0.36,-2.47,-0.44,-0.13,-2.1
Conor McGregor,Max Holloway,2026-07-11,0,12.700000000000017,-5.0800000000000125,3.3894592744695444,-1.6500000000000004,0.010000000000000009,0.11000000000000032,-0.04999999999999993,0.44000000000000006,0.020000000000000018,-0.15000000000000002,-0.19999999999999998
Paddy Pimblett,Benoit Saint Denis,2026-07-11,1,0.0,-2.539999999999992,0.9555099247091015,-0.09999999999999964,-0.05999999999999994,-0.22999999999999998,0.010000000000000009,-3.47,-0.13999999999999999,-0.25999999999999995,-0.30000000000000004
Mario Bautista,Cory Sandhagen,2026-07-11,1,-2.5400000000000205,-5.0800000000000125,-1.196440793976727,0.5999999999999996,0.04999999999999999,0.44999999999999973,-0.010000000000000009,1.3500000000000003,0.04999999999999999,0.0,0.9000000000000001
Brandon Royval,Lone'er Kavanagh,2026-07-11,1,2.539999999999992,7.6200000000000045,6.811772758384667,1.4699999999999998,-0.08000000000000002,0.30000000000000027,-0.11000000000000004,-0.2300000000000001,0.18,-0.36999999999999994,0.7999999999999999
King Green,Terrance McKinney,2026-07-11,1,-5.079999999999984,0.0,8.01642710472279,-0.33999999999999986,-0.020000000000000018,-0.4400000000000004,0.2,-1.95,0.010000000000000009,-0.010000000000000009,-1.5
Nikita Krylov,Robert Whittaker,2026-07-11,0,10.160000000000025,7.6200000000000045,-1.2128678986995212,-0.03000000000000025,0.11000000000000004,-0.6499999999999999,-0.10999999999999999,1.48,0.0,-0.27,1.1
Gable Steveson,Elisha Ellison,2026-07-11,1,-10.159999999999997,-2.539999999999992,-3.2388774811772763,12.68,0.32999999999999996,-10.62,0.26999999999999996,0.0,0.0,-1.0,0.0
Adrian Yanez,Cody Garbrandt,2026-07-11,1,12.700000000000017,-2.539999999999992,-2.3983572895277234,3.1300000000000003,0.009999999999999953,1.5299999999999998,-0.019999999999999907,-0.84,-0.22,-0.050000000000000044,0.0
Kai Kamaka III,Luke Riley,2026-07-11,0,0.0,-5.079999999999984,4.481861738535251,-1.1799999999999997,0.010000000000000009,2.1700000000000004,-0.05999999999999994,1.45,0.53,0.18000000000000005,0.2
Wang Cong,Tracy Cortez,2026-07-11,1,0.0,2.539999999999992,1.57152635181383,2.87,0.09999999999999998,-0.8799999999999999,0.06999999999999995,-1.42,0.35,0.26,0.3
Damian Pinas,Cesar Almeida,2026-07-11,1,12.699999999999989,0.0,-13.954825462012323,2.6,0.030000000000000027,3.6599999999999997,-0.04999999999999999,-0.2,-0.33,0.31999999999999995,-0.2
Farid Basharat,John Garza,2026-07-11,1,7.6200000000000045,2.539999999999992,5.242984257357975,-1.0099999999999998,0.11000000000000004,-2.49,0.25,3.57,0.37,-0.22999999999999998,0.3
Ryan Gandra,Zach Reese,2026-07-11,1,-7.6200000000000045,-7.6200000000000045,-1.1225188227241638,7.240000000000001,-0.040000000000000036,-1.7000000000000002,0.3,-2.74,-0.61,0.48,-1.2
Cody Durden,Alessandro Costa,2026-07-11,0,0.0,7.6200000000000045,4.835044490075294,-0.5,-0.020000000000000018,0.18000000000000016,-0.05999999999999994,3.12,0.21999999999999997,-0.30999999999999994,-0.09999999999999998
Rafael Fiziev,Manuel Torres,2026-06-27,1,-5.079999999999984,-5.0800000000000125,2.0533880903490775,-1.8600000000000003,-0.040000000000000036,0.5699999999999994,0.0,-0.32000000000000006,0.04999999999999993,0.14,-0.7
Michel Pereira,Shara Magomedov,2026-06-27,0,0.0,-2.5400000000000205,0.607802874743328,-1.2699999999999996,-0.10999999999999999,0.7000000000000002,0.04999999999999999,1.11,0.52,0.020000000000000018,0.6
Nazim Sadykhov,Matheus Camilo,2026-06-27,0,0.0,0.0,6.6338124572210795,2.47,0.04999999999999999,2.37,-0.17000000000000004,-3.08,-0.08000000000000002,0.72,-0.39999999999999997
Asu Almabayev,Charles Johnson,2026-06-27,1,-12.700000000000017,-12.699999999999989,-3.0417522245037674,-2.2600000000000002,0.020000000000000018,-1.94,-0.020000000000000018,4.2700000000000005,0.29000000000000004,-0.22000000000000003,0.9999999999999999
Brunno Ferreira,Ikram Aliskerov,2026-06-27,0,-10.159999999999997,-5.079999999999984,0.0903490759753609,-2.2899999999999996,-0.10999999999999999,-0.2599999999999998,0.06,-2.82,-0.4600000000000001,-0.5,-0.09999999999999998
Abus Magomedov,Michal Oleksiejczuk,2026-06-27,1,10.159999999999997,5.0800000000000125,4.473648186173854,-2.6700000000000004,-0.040000000000000036,-1.1100000000000003,-0.039999999999999925,1.51,0.16999999999999998,0.48,0.6
Farman Hasanov,Eric Nolan,2026-06-27,1,0.0,-7.6200000000000045,2.119096509240247,-0.28,0.16999999999999998,-1.5899999999999999,0.25999999999999995,17.0,0.62,-0.44,0.0
Julius Walker,Abdul Rakhman Yakhyaev,2026-06-27,0,0.0,5.079999999999984,1.4702258726899373,-4.92,-0.15000000000000002,1.9599999999999995,-0.16999999999999998,-7.039999999999999,-0.37,0.0,-7.4
Andrey Pulyaev,Nursulton Ruziboev,2026-06-27,0,5.0800000000000125,-2.5400000000000205,-3.808350444900757,1.2200000000000002,0.09000000000000002,0.2599999999999998,0.06000000000000005,-1.09,-0.64,0.23000000000000004,-0.3
Javier Reyes,Kaan Ofli,2026-06-27,0,17.78,0.0,-0.3175906913073234,3.79,0.0,-0.10999999999999988,-0.15000000000000008,0.9299999999999999,0.43,0.5,-0.7
Daniil Donchenko,Theodor Berggren,2026-06-27,1,-10.159999999999997,0.0,-1.3196440793976727,4.58,0.27,-7.9799999999999995,0.36999999999999994,0.58,0.33,0.75,0.0
Jean Matsumoto,Bekzat Almakhan,2026-06-27,1,0.0,-2.5400000000000205,-1.9192334017796036,2.7699999999999996,-0.010000000000000009,1.0599999999999996,-0.030000000000000027,2.85,0.42,-0.029999999999999916,0.5
Jefferson Nascimento,Tahir Abdullayev,2026-06-27,0,-7.619999999999976,0.0,-1.7932922655715267,-0.14000000000000012,0.06,0.14000000000000012,0.05999999999999994,-2.07,-0.33,-0.33999999999999997,0.0
Manel Kape,Kyoji Horiguchi,2026-06-20,1,12.699999999999989,2.539999999999992,-3.091033538672143,1.0399999999999996,0.08000000000000007,1.7999999999999998,-0.07000000000000006,-1.31,-0.10000000000000003,0.17000000000000004,0.1
