f_1_name,f_2_name,f_1_odds,f_2_odds,event_date,Y,delta_reach_cm,delta_height_cm,delta_age,delta_SlpM,delta_Str_Acc,delta_SApM,delta_Str_Def,delta_TD_Avg,delta_TD_Acc,delta_TD_Def,delta_Sub_Avg,delta_elo,delta_win_streak,delta_loss_streak,delta_win_rate_last_5,delta_ufc_win_rate,delta_ufc_fights,delta_rank,is_ranked_f1,is_ranked_f2,delta_win_rate_3y,delta_SlpM_3y,delta_SApM_3y,delta_TD_Def_3y
Mark Coleman,Randy Couture,2.42,1.57,2010-02-06,0,-0.0,-0.0,-1.4976043805612633,-0.9700000000000002,-0.04999999999999993,1.09,-0.18999999999999995,1.1100000000000003,-0.06,-0.07999999999999996,0.30000000000000004,-58.87975362520274,0,0,-0.39999999999999997,-0.030303030303030276,-10,-0.0,0.0,0.0,-0.0,-0.9700000000000002,1.09,-0.07999999999999996
Dan Miller,Demian Maia,2.21,1.68,2010-02-06,0,5.0800000000000125,-0.0,-3.6468172484599606,0.22999999999999976,-0.07,0.9900000000000002,-0.14,-0.8200000000000003,0.30000000000000004,-0.14,0.8,-33.334521386624374,0,0,-0.050000000000000044,-0.08333333333333337,-2,-0.0,0.0,0.0,-0.0,0.22999999999999976,0.9900000000000002,-0.14
Mike Swick,Paulo Thiago,1.63,2.28,2010-02-06,0,7.6200000000000045,5.079999999999984,1.6043805612594113,0.6499999999999999,-0.020000000000000018,0.30000000000000004,-0.08999999999999997,-0.3599999999999999,0.19,-0.020000000000000018,-0.6,72.56746522301842,-1,1,0.13333333333333341,0.1515151515151516,8,-0.0,0.0,0.0,-0.0,0.6499999999999999,0.2999999999999996,-0.020000000000000018
Matt Serra,Frank Trigg,1.63,2.29,2010-02-06,1,-7.6200000000000045,-7.6200000000000045,-2.069815195071868,-0.81,-0.07,0.7400000000000002,-0.10000000000000003,-0.30000000000000027,-0.26999999999999996,-0.37,0.09999999999999998,31.874732308895545,0,-1,0.0,0.16666666666666669,6,0.0,0.0,0.0,0.0,-0.8100000000000003,0.7400000000000002,-0.36999999999999994
Chael Sonnen,Nate Marquardt,2.44,1.56,2010-02-06,1,-2.5400000000000205,2.539999999999992,2.045174537987684,0.3700000000000001,-0.06,-1.2199999999999998,0.06999999999999995,1.94,0.07999999999999996,-0.039999999999999925,-0.4,-77.5503576337278,-1,0,-0.20000000000000007,-0.30000000000000004,-4,0.0,0.0,0.0,0.0,0.36999999999999966,-1.2199999999999998,-0.040000000000000036
Melvin Guillard,Ronys Torres,1.87,1.94,2010-02-06,1,0.0,5.079999999999984,-7.627652292950035,2.09,0.14,-0.07999999999999985,0.09000000000000008,-2.7,0.16000000000000003,0.44999999999999996,-0.3,13.685309852593718,0,1,-0.09999999999999998,0.05555555555555558,9,0.0,0.0,0.0,-0.5,0.029999999999999583,0.0,0.0
Rob Emerson,Phillipe Nover,1.82,2.0,2010-02-06,1,-5.079999999999984,0.0,2.513347022587272,0.71,-0.04999999999999999,0.3500000000000001,0.07999999999999996,1.03,0.24,0.21000000000000002,-0.29999999999999993,28.835281503451824,0,0,0.5,0.5,2,0.0,0.0,0.0,0.0,0.71,0.3500000000000001,0.21000000000000002
Brian Stann,Phil Davis,1.95,1.86,2010-02-06,0,-12.699999999999989,-2.5400000000000205,4.002737850787135,0.4299999999999997,0.07999999999999996,1.3199999999999998,-0.13,-2.87,-0.26,-0.12,-0.3,17.375434956688878,2,0,0.16666666666666663,0.16666666666666663,3,-0.0,0.0,0.0,-0.5,0.029999999999999583,0.0,0.0
Chris Tuchscherer,Tim Hague,1.99,1.83,2010-02-06,1,0.0,-5.079999999999984,7.665982203969882,-1.44,-0.15999999999999998,-0.9699999999999998,0.009999999999999953,-0.53,-0.15000000000000002,-0.85,-0.30000000000000004,-14.116167923439662,0,0,-0.5,-0.5,-1,0.0,0.0,0.0,0.0,-1.44,-0.9699999999999998,-0.85
Joey Beltran,Rolles Gracie,1.87,1.94,2010-02-06,1,0.0,-7.6200000000000045,-3.4031485284052003,2.62,0.03999999999999998,1.8899999999999997,-0.010000000000000009,-1.8199999999999998,0.07999999999999999,0.75,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.029999999999999583,0.0,0.0
